1.Prov._Sumatera_Barat,Sumatera Barat
2.Prov._Sumatera_Utara,Sumatera Utara
3.Prov._Riau,Riau
4.Prov._Jambi,Jambi
5.Prov._Sumatera_Selatan,Sumatera Selatan
6.Prov._Bengkulu,Bengkulu
7.Prov._Lampung,Lampung
8.Prov._Kepulauan_Bangka_Belitung,Kep. Bangka Belitung
9.Prov._Kep._Riau,Kep. Riau
10.Prov._Jawa_Barat,Jawa Barat
11.Prov._Jawa_Tengah,Jawa Tengah
12.Prov._DI_yogyakarta,DI yogyakarta
13.Prov._Jawa_Timur,Jawa Timur
14.Prov._Banten,Banten
15.Prov._Bali,Bali
16.Prov._Nusa_Tenggara_Barat,Nusa Tenggara Barat
17.Prov._Nusa_Tenggara_Timur,Nusa Tenggara Timur
18.Prov._Kalimantan_Barat,Kalimantan Barat
19.Prov._Kalimantan_Tengah,Kalimantan Tengah
20.Prov._Kalimantan_Selatan,Kalimantan Selatan
21.Prov._Kalimantan_Timur,Kalimantan Timur
22.Prov._Kalimantan_Utara,Kalimantan Utara
23.Prov._Sulawesi_Utara,Sulawesi Utara
24.Prov._Sulawesi_Tengah,Sulawesi Tengah
25.Prov._Sulawesi_Selatan,Sulawesi Selatan
26.Prov._Sulawesi_Tenggara,Sulawesi Tenggara
27.Prov._Gorontalo,Gorontalo
28.Prov._Sulawesi_Barat,Sulawesi Barat
29.Prov._Maluku,Maluku
30.Prov._Maluku_Utara,Maluku Utara
31.Prov._Papua,Papua
32.Prov._Papua_Barat,Papua Barat
